"Case Number","Severity","Opened Date","Case Owner"
"208060","Sev-2: High","3/20/2017","Miriam Rios"
"208146","Sev-2: High","3/21/2017","Miriam Rios"
"208370","Sev-2: High","3/23/2017","Miriam Rios"
"208373","Sev-2: High","3/23/2017","Miriam Rios"
"208436","Sev-2: High","3/24/2017","Miriam Rios"
"208445","Sev-2: High","3/24/2017","Miriam Rios"
"208463","Sev-1: Mission Critical","3/24/2017","Miriam Rios"
"208549","Sev-1: Mission Critical","3/27/2017","Miriam Rios"
"208559","Sev-1: Mission Critical","3/27/2017","Miriam Rios"
"208567","Sev-2: High","3/27/2017","Miriam Rios"
"208575","Sev-2: High","3/27/2017","Miriam Rios"
"208581","Sev-2: High","3/27/2017","Miriam Rios"
"208582","Sev-1: Mission Critical","3/27/2017","Miriam Rios"
"208590","Sev-2: High","3/27/2017","Miriam Rios"
"208591","Sev-2: High","3/27/2017","Miriam Rios"
"208592","Sev-2: High","3/27/2017","Miriam Rios"
"208622","Sev-2: High","3/28/2017","Miriam Rios"
"208624","Sev-2: High","3/28/2017","Miriam Rios"
"208632","Sev-2: High","3/28/2017","Miriam Rios"
"208649","Sev-2: High","3/28/2017","Miriam Rios"
"208669","Sev-2: High","3/28/2017","Miriam Rios"
"208671","Sev-2: High","3/28/2017","Miriam Rios"
"208675","Sev-2: High","3/29/2017","Miriam Rios"
"208701","Sev-2: High","3/29/2017","Miriam Rios"
"208724","Sev-2: High","3/29/2017","Miriam Rios"
"208726","Sev-2: High","3/29/2017","Miriam Rios"
"208745","Sev-2: High","3/29/2017","Miriam Rios"
"208750","Sev-2: High","3/29/2017","Miriam Rios"
"208757","Sev-2: High","3/29/2017","Miriam Rios"
"208759","Sev-2: High","3/29/2017","Miriam Rios"
"208760","Sev-2: High","3/29/2017","Miriam Rios"
"208807","Sev-1: Mission Critical","3/30/2017","Miriam Rios"
"208847","Sev-2: High","3/30/2017","Miriam Rios"
"208852","Sev-2: High","3/30/2017","Miriam Rios"
"208856","Sev-2: High","3/30/2017","Miriam Rios"
"208892","Sev-2: High","3/30/2017","Miriam Rios"
"208898","Sev-2: High","3/31/2017","Miriam Rios"
"208899","Sev-2: High","3/31/2017","Miriam Rios"
"208912","Sev-2: High","3/31/2017","Miriam Rios"
"208924","Sev-2: High","3/31/2017","Miriam Rios"
"208929","Sev-2: High","3/31/2017","Miriam Rios"
"206952","Sev-2: High","3/1/2017","Sean Yates"
"206956","Sev-2: High","3/1/2017","Sean Yates"
"206959","Sev-2: High","3/1/2017","Sean Yates"
"206980","Sev-2: High","3/1/2017","Sean Yates"
"206991","Sev-2: High","3/1/2017","Sean Yates"
"207002","Sev-2: High","3/1/2017","Sean Yates"
"207076","Sev-2: High","3/2/2017","Sean Yates"
"207093","Sev-2: High","3/2/2017","Sean Yates"
"207129","Sev-2: High","3/3/2017","Sean Yates"
"207138","Sev-2: High","3/3/2017","Sean Yates"
"207216","Sev-2: High","3/6/2017","Sean Yates"
"207243","Sev-2: High","3/6/2017","Sean Yates"
"207246","Sev-2: High","3/6/2017","Sean Yates"
"207274","Sev-1: Mission Critical","3/6/2017","Sean Yates"
"207320","Sev-2: High","3/7/2017","Sean Yates"
"207331","Sev-2: High","3/7/2017","Sean Yates"
"207350","Sev-2: High","3/7/2017","Sean Yates"
"207383","Sev-2: High","3/8/2017","Sean Yates"
"207389","Sev-2: High","3/8/2017","Sean Yates"
"207425","Sev-1: Mission Critical","3/8/2017","Sean Yates"
"207543","Sev-2: High","3/10/2017","Sean Yates"
"207561","Sev-2: High","3/10/2017","Sean Yates"
"207610","Sev-1: Mission Critical","3/13/2017","Sean Yates"
"207612","Sev-2: High","3/13/2017","Sean Yates"
"207618","Sev-2: High","3/13/2017","Sean Yates"
"207621","Sev-2: High","3/13/2017","Sean Yates"
"207697","Sev-2: High","3/14/2017","Sean Yates"
"207818","Sev-1: Mission Critical","3/15/2017","Sean Yates"
"207887","Sev-2: High","3/16/2017","Sean Yates"
"207905","Sev-1: Mission Critical","3/16/2017","Sean Yates"
"207909","Sev-2: High","3/16/2017","Sean Yates"
"207944","Sev-2: High","3/17/2017","Sean Yates"
"207955","Sev-2: High","3/17/2017","Sean Yates"
"208029","Sev-2: High","3/19/2017","Sean Yates"
"208037","Sev-2: High","3/20/2017","Sean Yates"
"208106","Sev-2: High","3/20/2017","Sean Yates"
"208117","Sev-2: High","3/20/2017","Sean Yates"
"208148","Sev-2: High","3/21/2017","Sean Yates"
"208159","Sev-1: Mission Critical","3/21/2017","Sean Yates"
"208181","Sev-2: High","3/21/2017","Sean Yates"
"208205","Sev-1: Mission Critical","3/21/2017","Sean Yates"
"208217","Sev-2: High","3/22/2017","Sean Yates"
"208317","Sev-2: High","3/22/2017","Sean Yates"
"208329","Sev-2: High","3/23/2017","Sean Yates"
"208377","Sev-2: High","3/23/2017","Sean Yates"
"208394","Sev-1: Mission Critical","3/23/2017","Sean Yates"
"208407","Sev-2: High","3/23/2017","Sean Yates"
"208413","Sev-2: High","3/23/2017","Sean Yates"
"208415","Sev-2: High","3/24/2017","Sean Yates"
"208432","Sev-2: High","3/24/2017","Sean Yates"
"208443","Sev-2: High","3/24/2017","Sean Yates"
"208454","Sev-2: High","3/24/2017","Sean Yates"
"208503","Sev-2: High","3/27/2017","Sean Yates"
"208524","Sev-2: High","3/27/2017","Sean Yates"
"208552","Sev-2: High","3/27/2017","Sean Yates"
"208569","Sev-2: High","3/27/2017","Sean Yates"
"208584","Sev-2: High","3/27/2017","Sean Yates"
"208589","Sev-1: Mission Critical","3/27/2017","Sean Yates"
"208620","Sev-2: High","3/28/2017","Sean Yates"
"208633","Sev-2: High","3/28/2017","Sean Yates"
"208670","Sev-2: High","3/28/2017","Sean Yates"
"208712","Sev-2: High","3/29/2017","Sean Yates"
"208839","Sev-2: High","3/30/2017","Sean Yates"
"208851","Sev-2: High","3/30/2017","Sean Yates"
"208874","Sev-2: High","3/30/2017","Sean Yates"
"208889","Sev-2: High","3/30/2017","Sean Yates"
"208905","Sev-2: High","3/31/2017","Sean Yates"
"208914","Sev-1: Mission Critical","3/31/2017","Sean Yates"
"208920","Sev-1: Mission Critical","3/31/2017","Sean Yates"
"208925","Sev-1: Mission Critical","3/31/2017","Sean Yates"
"208936","Sev-1: Mission Critical","3/31/2017","Sean Yates"
"208945","Sev-2: High","3/31/2017","Sean Yates"
"208946","Sev-2: High","3/31/2017","Sean Yates"
"210091","Sev-3: Medium","4/26/2017","David Justice"
"209028","Sev-2: High","4/3/2017","Eric Thomas"
"209029","Sev-2: High","4/3/2017","Eric Thomas"
